Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.391496,143329,444.56,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,14,8,0.14,0.2,0.27492,102438,401.02,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.196188,72496,353.54,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,10,8,0.1,0.2,0.365894,131020,514.69,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.379281,133806,641.03,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.415345,151690,607.93,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,5,0.15,0.2,0.311716,116240,423.69,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.302791,112325,427.97,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.409242,145918,593.32,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.182646,66735,340.21,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,10,8,0.1,0.2,0.275316,103745,549.54,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.299496,105053,379.14,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.291501,105584,431.77,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.376912,137495,586.32,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.198041,72882,336.43,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.222352,81164,367.89,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.368116,132622,492.45,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.366071,135064,633.69,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.304641,106305,337.1,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.195155,71969,370.77,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.227818,83684,430.96,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,14,-8,0.14,0.2,0.374179,135464,594.14,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.378362,143180,410.19,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.171809,63934,313.44,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-5,0.15,0.2,0.428508,152789,615.0,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.225357,81953,351.86,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.275727,100463,426.91,0,0.0
